gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,CLV,avg_review_sentiment,min_review_sentiment,max_review_sentiment,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_Fiber optic,InternetService_No,AvgMonthlySpend,TotalAddons,TenureGroup_13-24m,TenureGroup_25-48m,TenureGroup_49-60m,TenureGroup_61-72m,HasFiberOptic,IsAutoPay,IsSenior,MultipleLines_Yes,Contract_Two year,PaymentMethod_E-Check,PaymentMethod_Mail Check,InternetService_No Internet
0,0,1,0,1,0,0,1,0,0,0,0,1,29.85,29.85,0,29.85,0.032969583911668,-0.5999999999999999,0.8,False,False,False,True,False,False,False,29.85,1,False,False,False,False,0,0,0,False,False,True,False,False
1,0,0,0,34,1,1,0,1,0,0,0,0,56.95,1889.5,0,1936.3,0.032969583911668,-0.5999999999999999,0.8,True,False,False,False,True,False,False,55.5735294117647,2,False,True,False,False,0,0,0,False,False,False,True,False
1,0,0,0,2,1,1,1,0,0,0,0,1,53.85,108.15,1,107.7,0.032969583911668,-0.5999999999999999,0.8,False,False,False,False,True,False,False,54.075,2,False,False,False,False,0,0,0,False,False,False,True,False
1,0,0,0,45,0,1,0,1,1,0,0,0,42.3,1840.75,0,1903.5,0.032969583911668,-0.5999999999999999,0.8,True,False,False,False,False,False,False,40.90555555555556,3,False,True,False,False,0,0,0,False,False,False,False,False
0,0,0,0,2,1,0,0,0,0,0,0,1,70.7,151.65,1,141.4,0.032969583911668,-0.5999999999999999,0.8,False,False,False,True,False,True,False,75.825,0,False,False,False,False,1,0,0,False,False,True,False,False
0,0,0,0,8,1,0,0,1,0,1,1,1,99.65,820.5,1,797.2,0.032969583911668,-0.5999999999999999,0.8,False,False,False,True,False,True,False,102.5625,3,False,False,False,False,1,0,0,True,False,True,False,False
1,0,0,1,22,1,0,1,0,0,1,0,1,89.1,1949.4,0,1960.2,0.032969583911668,-0.5999999999999999,0.8,False,False,True,False,False,True,False,88.60909090909091,2,True,False,False,False,1,1,0,True,False,False,False,False
0,0,0,0,10,0,1,0,0,0,0,0,0,29.75,301.9,0,297.5,0.032969583911668,-0.5999999999999999,0.8,False,False,False,False,True,False,False,30.189999999999998,1,False,False,False,False,0,0,0,False,False,False,True,False
0,0,1,0,28,1,0,0,1,1,1,1,1,104.8,3046.05,1,2934.4,0.032969583911668,-0.5999999999999999,0.8,False,False,False,True,False,True,False,108.78750000000001,4,False,True,False,False,1,0,0,True,False,True,False,False
1,0,0,1,62,1,1,1,0,0,0,0,0,56.15,3487.95,0,3481.3,0.032969583911668,-0.5999999999999999,0.8,True,False,False,False,False,False,False,56.25725806451613,2,False,False,False,True,0,0,0,False,False,False,False,False
1,0,1,1,13,1,1,0,0,0,0,0,1,49.95,587.45,0,649.35,0.032969583911668,-0.5999999999999999,0.8,False,False,False,False,True,False,False,45.18846153846154,1,True,False,False,False,0,0,0,False,False,False,True,False
1,0,0,0,16,1,0,0,0,0,0,0,0,18.95,326.8,0,303.2,0.032969583911668,-0.5999999999999999,0.8,False,True,True,False,False,False,True,20.425,0,True,False,False,False,0,1,0,False,True,False,False,True
1,0,1,0,58,1,0,0,1,0,1,1,0,100.35,5681.1,0,5820.299999999999,0.032969583911668,-0.5999999999999999,0.8,True,False,True,False,False,True,False,97.95,3,False,False,True,False,1,1,0,True,False,False,False,False
1,0,0,0,49,1,0,1,1,0,1,1,1,103.7,5036.3,1,5081.3,0.032969583911668,-0.5999999999999999,0.8,False,False,False,False,False,True,False,102.78163265306122,4,False,False,True,False,1,0,0,True,False,False,False,False
1,0,0,0,25,1,1,0,1,1,1,1,1,105.5,2686.05,0,2637.5,0.032969583911668,-0.5999999999999999,0.8,False,False,False,True,False,True,False,107.44200000000001,5,False,True,False,False,1,0,0,False,False,True,False,False
0,0,1,1,69,1,1,1,1,1,1,1,0,113.25,7895.15,0,7814.25,0.032969583911668,-0.5999999999999999,0.8,False,True,True,False,False,True,False,114.42246376811593,6,False,False,False,True,1,1,0,True,True,False,False,False
0,0,0,0,52,1,0,0,0,0,0,0,0,20.65,1022.95,0,1073.8,0.032969583911668,-0.5999999999999999,0.8,True,False,False,False,True,False,True,19.672115384615385,0,False,False,True,False,0,0,0,False,False,False,True,True
1,0,0,1,71,1,1,0,1,0,1,1,0,106.7,7382.25,0,7575.7,0.032969583911668,-0.5999999999999999,0.8,False,True,False,False,False,True,False,103.97535211267606,4,False,False,False,True,1,0,0,True,True,False,False,False
0,0,1,1,10,1,0,0,1,1,0,0,0,55.2,528.35,1,552.0,0.032969583911668,-0.5999999999999999,0.8,False,False,True,False,False,False,False,52.835,2,False,False,False,False,0,1,0,False,False,False,False,False
0,0,0,0,21,1,0,1,1,0,0,1,1,90.05,1862.9,0,1891.05,0.032969583911668,-0.5999999999999999,0.8,False,False,False,True,False,True,False,88.70952380952382,3,True,False,False,False,1,0,0,False,False,True,False,False
1,1,0,0,1,0,0,0,1,0,0,1,1,39.65,39.65,1,39.65,0.032969583911668,-0.5999999999999999,0.8,False,False,False,True,False,False,False,39.65,2,False,False,False,False,0,0,1,False,False,True,False,False
1,0,1,0,12,1,0,0,0,0,0,0,0,19.8,202.25,0,237.6,0.032969583911668,-0.5999999999999999,0.8,True,False,False,False,False,False,True,16.854166666666668,0,False,False,False,False,0,0,0,False,False,False,False,True
1,0,0,0,1,1,0,0,0,0,0,0,0,20.15,20.15,1,20.15,0.032969583911668,-0.5999999999999999,0.8,False,False,False,False,True,False,True,20.15,0,False,False,False,False,0,0,0,False,False,False,True,True
0,0,1,0,58,1,0,1,0,1,0,0,1,59.9,3505.1,0,3474.2,0.032969583911668,-0.5999999999999999,0.8,False,True,True,False,False,False,False,60.432758620689654,2,False,False,True,False,0,1,0,True,True,False,False,False
1,0,1,1,49,1,1,1,0,1,0,0,0,59.6,2970.3,0,2920.4,0.032969583911668,-0.5999999999999999,0.8,False,False,True,False,False,False,False,60.61836734693878,3,False,False,True,False,0,1,0,False,False,False,False,False
